a bad egg,sözünde durmayan
construction,yapılış,tümce yapısı,anlam,anlam verme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
constructive,geliştirici
constructor,müteahhit
construe,yorumlamak
consuetude,örf
consuetudinary,olağan
consul general,başkonsolos
consul,konsolos
consular agent,fahri konsolos
consular fees,konsolosluk vergini
consular,konsoloslukla ilgili
consulate general,başkonsolosluk
consulate,konsolosluk
consulship,konsolosluk
consult with,görüşmek
consult,danışmak
consultant,danışman doktor
consultation,danışma
consultative assembly,danışma meclisi
consultative committee,danışma komitesi
consultative,istişari
consulting engineer,danışman mühendis
consulting fee,danışmanlık vergini
consulting room,muayenehane
consulting,danışmanlık yapan
consumable,tüketilir
consume,tüketmek
consumer acceptance,tüketici tercihi
consumer cooperative,tüketici kooperatifi
consumer credit,tüketici kredisi
consumer demand,tüketici talebi
consumer durable,dayanıklı tüketim malı
consumer durables,dayanıklı tüketim malları
consumer goods,tüketim malları
consumer loan,tüketici kredisi
consumer non-durables,dayanıksız tüketim malları
consumer prices,tüketici fiyatları
consumer protection,tüketiciyi koruma
consumer society,tüketici derneği
consumer,tüketici
consumers goods,tüketim malları
consumers strike,tüketici grevi
consumers cooperative,tüketim kooperatifi
consummate,tam
consummation,tamamlama
consumption goods,tüketim malları
consumption loan,tüketim kredisi
consumption of energy,enerji tüketimi
consumption society,tüketim toplumu
consumption tax,tüketim vergisi
consumption,tüketim
consumptive,tüketilecek
contact breaker,otomatik şalter
contact button,çıngı düğmesi
contact lens,kontaklens
contact,dokunma, bağlantı kurmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contactless,değmesiz
contactor,kontaktör
contagion,hastalık bulaşması
contagious,(hastalık) temasla geçen
contain,içermek
container,(kutu/şişe/vb.) kap
containerization,konteynerleştirme
contaminant,kirletici
contaminate,bulaştırmak
contaminating,kirletici
contamination meter,Geiger cihazı
contamination,bulaştırma
contango,tehir primi
contemn,küçük görmek
contemplate,bakmak
contemplation,derin düşünme
contemplative,derin düşünceye dalmış
contemporaneous,aynı zamanda olan
contemporary,aynı zamana ait,zamanevi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contempt of court,mahkemeye itaatsizlik
contempt,teessüf
contemptible,alçak
contemptuous,hor gören
contend,çekişmek
contender,yarışmacı
content analysis,içerik çözümlemesi
content validity,içerik geçerliliği
content,memnun
contented,memnun
contention,tartışma
contentious,tartışmacı
contentment,memnuniyet
contents,içindekiler
conterminous,komşu
contest,mücadele
contestant,yarışmacı
context,bağlam
context-free,bağlamdan bağımsız
context-restricted,bağlama bağlı
contextual meaning,kapsam
contextual,bağlamsal
contextuality,bağlamlılık
contexture,yapı
contiguity,bitişiklik
contiguous country,komşu ülke
contiguous zone,bitişik bölge
contiguous,bitişik
continence,ılımlılık
continent,kıta
continental climate,kara iklimi
continental divide,kıta bölüm çizgisi
continental drift,karaların kayması
continental quilt,kuştüyü yorgan
continental shelf,kıta sahanlığı
continental,kıtasal
contingency allowance,fazla mesai vergini
contingency annuity,şartlı ödeme
contingency fund,karşılık fonu
contingency reserve,yedek akçe
contingency,olasılık
contingent,-e bağlı
continual,sürekli
continually,mütemadiyen
continuance,devam
continuant,sürekli
continuation,sürme
continue,devam etmek
continued,sürekli
continuing,müdevver
continuity concept,devamlılık kavramı
continuity,süreklilik
continuous control,sürekli kontrol
continuous current,sürekli akım
continuous market,sürekli pazar
continuous power,devamlı güç
continuous,sürekli
continuously,sürekli olarak
continuum,kontinuum
contort,(yüz/vb.) buruşturmak
contortion,bükme
contour line,eşyükselti eğrisi
contour map,çevre eğrisi haritası
contour pen,çevre eğrisi kalemi
contour,dış hatlar
contra account,mukabil hesap
contra,kontra
contra-,(önek) karşı
contraband goods,kaçak mallar
contraband,kaçak eşya
contrabass,kontrbas
contraception,doğum kontrolü
contraceptive,gebelik önleyici
contract a debt,borca girmek
contract an engagement,taahhüt etmek
contract book,mukavele defteri
contract bridge,briç oyunu
contract for futures,vadeli sözleşme
contract of insurance,sigorta sözleşmesi
contract of licence,lisans sözleşmesi
contract of sale,satış sözleşmesi
contract,sözleşme
contracted,büzük
contractible,büzülebilir
contractile,kasılabilen
contracting firm,müteahhit firma
contraction,(hastalık/vb.) kapma
contractionary,daraltıcı
contractor,müteahhit
contractual terms,sözleşme koşulları
contractual,sözleşmeye bağlanmış
contradict,inkâr etmek
contradiction,tersini söyleme
contradictory,çelişkili
contralto,kontralto
contraption,garip alet/makine
contrarily,aksine
contrariness,inatçılık
contrariwise,bilakis
contrary to the specifications,şartnameye aykırı
contrary,karşıt, zıt, karşıt olan şey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contrast control,kontrast ayarı
contrast,karşıtlık, mukayese etmek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contrasting colour,kontrast renk
contrastive analysis,ayrımsal çözümleme
contrastive,ayrımsal
contravene,karşı gelmek
contravener,kanuna karşı gelen
contravention,karşı gelme
contretemps,gaf
contribute,katkıda bulunmak
contribution margin,azami gelir
contribution,kalıtım
contributor,katkıda bulunan kimse
contributory,payı olan
contrite,pişman
contrition,pişmanlık
contrivance,tertibat
contrive,bulmak
contrived,yapmacık
control apparatus,kontrol cihazı
control box,kontrol kutusu
control cable,kumanda kablosu
control card,kontrol kartı
control chart,kontrol grafiği
control circuit,kontrol devresi
control desk,denetim masası
control gear,kumanda dişlisi
control group,kontrol türkümü
control key,kontrol tuşu
control knob,ayar butonu
control lever,kumanda kolu
control mechanism,kumanda mekanizması
control point,denetim çekidi
control port,kontrol kapısı
control program,denetim bağdarlaması
control room,kontrol odası
control system,kontrol jüyesi
control tower,kontrol kulesi
control word,denetim sözcüğü
control,hakim olmak,hakimiyet,yönetim,(ç.) (uçak/vb.) kumanda donanımı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
controllable,yönetilebilir
controlled economy,kontrollü ekonomi
controlled prices,kontrol altında tutulan fiyatlar
controlled,denetimli
controller,müfettiş
controlling company,ana şirket
controlling,kontrol eden
controversial,tartışmaya yol açan
controversy,tartışma
controvert,tekzip etmek
contumacious,asi
contumacy,inatçılık
contumely,hakaret
contuse,berelemek
contusion,ezik
conurbation,birleşik kentler
convalesce,iyileşmek
convalescence,nekahet
convalescent,iyileşen
convection current,konveksiyon akımı
convection,konveksiyon
convector,konvektör
convene in extraordinary,olağanüstü toplanmak
convene,toplantıya çağırmak
convenience,uygunluk
convenient,uygun
convention,toplama
conventional weapons,konvansiyonel silahlar
conventional,ananevi
conventionalism,konvansiyonalizm
converge,bir çekitte birleşmek
convergence,bir çekitte birleşme
convergent lens,yakınsak mercek
convergent,bir çekitte birleşen
converging lens,yakınsak mercek
converging mirror,yakınsak ayna
converging,yakınsak
conversant with,yakından bilen
conversant,(with ile) bilgisi olan
conversation,konuşma
conversational,karşılıklı konuşmalı
conversationalist,iyi konuşan kimse
converse with,konuşmak
converse,konuşmak
conversely,tam tersine
conversion factor,uyum katsayısı
conversion right,değiştirme hakkı
conversion,değişme
convert,değiştirmek
converter,konvertisör
convertibility,konvertibilite
convertible currency,konvertibl para
convertible money,konvertibl para
convertible,(para) konvertibıl
convertor,konvertisör
convex lens,tümsek mercek
convex mirror,tümsek ayna
convex reflector,dışbükey yansıtıcı
convex,dışbükey
convexity,dışbükeylik
convey,taşımak
conveyable,devredilebilir
conveyance by land,karayolu ile gönderme
conveyance of goods,mal gönderme
conveyance of letters,mektup sevki
conveyance,taşıma
conveyancer,temlikname düzenleyen
conveyer,taşıyıcı
conveying plant,sevk tertibatı
conveyor belt,bantlı konveyör
conveyor line,taşıyıcı bant
conveyor,taşımacı
convict,suçlu bulmak
convicted previously,sabıkalı
conviction,mahkumiyet
convince,inandırmak
convincing,ikna edici
convivial,neşeli
conviviality,eğlence
convocation,çağrı
convoke,toplantıya çağırmak
convolute,sarılmış
convoluted,kıvrık
convolution,kat
convolvulus,çitsarmaşığı
convoy pennant,konvoy flaması
convoy,(korumak amacıyla) eşlik etmek
convulse,şiddetle sarsmak
convulsion,çırpınma
cony,ada tavşanı
coo,(kumru gibi) ötmek
Coo!,Eyah!
cook book,yemek kitabı
cook sbs goose,birinin yuvasını yapmak
cook up,uydurmak
cook,aşçı
cooker,ocak
cookery,aşçılık
cookie,kurabiye
cooky,bkz.cookie
cool and collected,aklı başında
cool customer,haddini bilmez kişi
cool down,sakinleşmek
cool off,heyecanı sönmek
cool ones heels,ağaç olmak
cool,serin,soğumak,serinlemek,soğutmak,serinletmek,serinlik,sakinlik,serinkanlılık,serinkanlılıkla,heyecanlanmadan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coolant,soğutucu
cooler,soğutucu
coolie,vasıfsız işçi
cooling water pump,devridaim tulumbası
cooling,soğuma
coon,zenci
coop up,kapatmak
coop,kümes
cooper,fıçıcı
cooperate,birlikte çalışma
cooperation,birlikte çalışma
cooperative bank,kooperatif bankası
cooperative marketing,müşterek pazarlama
cooperative society,kooperatif şirket
cooperative,yardımcı
coopt,oyla seçmek
coordinate clause,bağlaçlı yan cümle
coordinate,etkinliği artırmak için birlikte çalışmak
coordination committee,koordinasyon komitesi
coordination number,koordinasyon sayısı
coordination,koordinasyon
coordinative,eşgüdümlü
coordinator,koordinatör
coot,sutavuğu
coownership,ortak mülkiyet
cop it,fırça yemek
cop out,sorumluluktan kaçmak
cop,sakçı
copaiba,pelesenk yağı
copal,kopal
copartner,ortak
copartnership,ortaklık
cope of heaven,gökkubbe
cope with,ile başa çıkmak
cope,cüppe
copier,fotokopi makinesi
copilot,ikinci pilot
coping saw,oyma testere
coping,harpuşta
copious,bol
coplanar,düzlemdeş
copolymer,kopolimer
copolymerization,kopolimerizasyon
copper acetate,bakır asetat
copper beech,kızıl gürgen
copper boiler,bakır kazan
copper carbonate,bakır karbonat
copper chloride,bakır klorür
copper coloured,bakır renginde
copper engraving,bakır oymacılığı
copper glance,kalkosin
copper oxide,bakır oksit
copper pipe,bakır boru
copper plate,bakır levha
copper plating,bakır kaplama
copper sulphate,bakır sülfat
copper sulphide,kalkopirit
copper wire,bakır tel
copper,bakır
copper-clad,bakır kaplı
copperas,demir sülfat
copperbottomed,karinası bakır kaplı
coppersmith,bakırcı
coppery,bakır gibi
coppice forest,baltalık
coppice,küçük koru
copra,kurutulmuş hindistan cevizi
coproduction,ortak üretim
coproprietor,müşterek sahip
coproprietorship,müşterek sahiplik
copse,çalılık
copula,haber edatı
copulate,(hayvan) çiftleşmek
copulation,çiftleşme
copulative,bağlayan
copy book,yazı defteri
copy,kopya,kopya çekmek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copycat,sürekli başkalarını taklit eden kimse
copyright law,telif hakları yasası
copyright,telif hakkı
copytypist,daktilo
copywriter,reklam yazarı
coquet,cilveli hareket etmek
coquetry,cilve
coquette,edabaz
coquettish,şuh
coracle,bir çeşit kayık
coral island,mercanada
coral reef,mercan resifi
coral snake,mercan yılanı
coral,mercan
coralline,mercandan
corallite,mercanın tek polipi
coralloid,mercana benzeyen
corbel,bindirmelik
cord velvet,fitilli kadife
cord,ip
cordage,halat takımı
cordate,yürek biçiminde
corded ladder,ip merdiven
corded,fitilli
cordial,candan
cordiality,samimiyet
cordially,içtenlikle
cordite,kordit
cordon,sakçı kordonu
cords,fitilli kadife pantolon
corduroy,fitilli kadife kumaş
core carbon,göbek karbonu
core,(meyve) göbek
corgi,kısa bacaklı küçük bir köpek türü
coriaceous,deriden yapılmış
coriander,kişniş
corinthian order,Korint üslubu
corinthian,Korint
corium,koryum
cork oak,mantar meşesi
cork stopper,mantar tapa
cork,şişe mantarı
corked,mantarlı
corkscrew stair,helezon merdiven
corkscrew,tirbuşon
corkwood,mantar ağacı
corky,mantara benzer
cormorant,karabatak
corn bread,mısır ekmeği
corn chandler,zahire tüccarı
corn crake,bıldırcın kılavuzu
corn flour,mısır unu
corn silk,mısır püskülü
corn sugar,mısır şekeri
corn syrup,glikoz
corn,buğday
corncob,mısır koçanı
corncrib,mısır ambarı
cornea,kornea
cornel,karaniya
cornelian cherry,kızılcık
cornelian,akik taşı
corner bumper,köşeli tampon
corner stone,köşe taşı
corner the market,piyasayı ele geçirmek
corner,köşe
cornering,viraj alma
cornerstone,köşe taşı
cornerwise,çapraz
cornet,kornet
cornfield,mısır tarlası
cornflakes,mısır gevreği
cornflour,mısır unu
cornflower,peygamberçiçeği
cornhusk,mısır koçanı kabuğu
cornice,pervaz
corning,salamura yapma
cornsilk,mısır püskülü
cornstarch,mısır unu
corny,modası geçmiş
corolla,taçyapraklar
corollary,bir şeyin doğal sonucu
corona discharge,korona deşarjı
corona,ağıl
coronach,cenaze şarkısı
coronary artery,taçdamar
coronary thrombosis,kanın pıhtılaşması
coronary,kalple ilgili
coronation,taç giyme töreni
coroner,sorgu yargıcı
coronet,küçük taç
corporal punishment,dayak
corporal,gövdesel
corporally,bedenen
corporate director,yönetim kurulu üyesi
corporate income tax,kurumlar vergisi
corporate name,şirket unvanı
corporate saving,şirket tasarrufu
corporate seal,şirket mühürü
corporate state,korporatif devlet
corporate tax,kurumlar vergisi
corporate trust,şirket kredisi
corporate,birleşmiş
corporation accounting,şirket muhasebesi
corporation bylaw,şirket tüzüğü
corporation income tax,kurumlar vergisi
corporation tax,kurumlar vergisi
corporation,dernek
corporeal,bedeni
corps commander,kolordu komutanı
corps,kurul
corpse,ceset
corpulence,şişmanlık
corpulent,çok şişman
corpus,külliyat
corpuscle,yuvar
corpuscular,parçacık ile ilgili
corral,çevresi çitle sarılı büyükbaş koyun ağılı
correct,düzeltmek
correcting,düzeltme
correction of age,yaş tashihi
correction,düzeltme
corrective,düzeltici
correctly,doğru olarak
correctness,doğruluk
corrector,düzeltici
correlate,aralarında ilişki kurmak
correlation matrix,ilişki dizeyi
correlation,ilişki
correlative,bağlılaşık
correspond,uymak
correspondence course,mektupla öğretim
correspondence school,açıköğretim
correspondence,uygunluk
correspondent bank,muhabir banka
correspondent,bir kimseyle sürekli mektuplaşan kişi
corresponding,uygun
corridor,koridor
corrigendum,baskı hatası
corrigible,düzeltilebilir
corroborant,destekleyici
corroborate,kanıtlarla desteklemek
corroboration,doğrulama
corrode,aşındırmak
corrosion,aşındırma
corrosion-proof,aşınmaya dayanıklı
corrosion-resistant,aşınmaya dayanıklı
corrosive power,aşındırıcı güç
corrosive sublimate,biklorit
corrosive,aşındırıcı
corrugate,kırıştırmak
corrugated iron,oluklu demir levha
corrugated paper,oluklu karton
corrugated pipe,oluklu sac boru
corrugated,dalgalı
corrugation,oluk
corrupt,(insanı) bozmak, kötü, namussuz, rüşvet yiyici, yanlış, bozuk, laçka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corruptible,ayartılabilir
corruption,kötüleştirme
corsage,korsaj
corsair,korsan
corset,korsa
cortege,kortej
cortex,kabuk
corticate,kabuklu
corticated,kabuklu
cortisol,kortizol
cortisone,kortizon
corundum,korindon
coruscate,ışıldamak
corvette,ufak torpido muhribi
corvine,karga gibi
corymb,demet
coryza,burun nezlesi
cos,bkz.because
cosecant,kosekant
coset,koset
cosh,cop
cosignatory,birlikte imzalayan
cosine,kosinüs
cosmetic,kozmetik
cosmetics,kozmetik
cosmic dust,kozmik toz
cosmic radiation,kozmik radyasyon
cosmic ray,kozmik ışın
cosmic,evrensel
cosmogony,kozmogoni
cosmography,kozmografya
cosmology,evrenbilim
cosmonaut,Sovyet uzayadamı
cosmonautics,kozmonotik
cosmopolitan,kozmopolit
cosmos,evren
cosset,üzerine düşmek
cossette,küspe
cost a packet,tuzluya mal olmak
cost a pretty penny,pahalıya mal olmak/patlamak
cost account,maliyet hesabı
cost analysis,maliyet analizi
cost free,verginsiz
cost of consumption,tüketim maliyeti
cost of conveyance,nakliye masrafı
cost of education,eğitim maliyeti
cost of living index,geçim indeksi
cost of living,geçim gideri
cost of manufacture,üretim maliyeti
cost of packing,ambalaj masrafı
cost of production,üretim maliyeti
cost of research,araştırma gideri
cost of sales,satış maliyeti
cost or marketing,pazarlama giderleri
cost overrun,fazla maliyet
cost price,maliyet fiyatı
cost reduction,maliyeti azaltma
cost report,maliyet raporu
cost,fiyat
costal,kaburgalara ait
costate,kaburgalı
coster,sokak satıcısı
costermonger,seyyar sebze
costing,maliyetleme
costive,kabız
costless,müft
costliness,pahalılık
costly,pahalı
costume ball,kıyafet balosu
costume jewellery,taklit ziynet eşyası
costume,giysi
costumer,kostümleri hazırlayan kimse
cosurety,müteselsil kefil
cosy,rahat
cot,beşik
cotangent,kotanjant
cote,ağıl
coterie,zümre
cottage cheese,süzme peynir
cottage,küçük ev
cottager,rençper
cotter,kama
cotton belt,pamuk üretme bölgesi
cotton candy,pamukhelva
cotton cloth,pamuklu kumaş
cotton exchange,pamuk borsası
cotton fabric,pamuklu kumaş
cotton field,pamuk tarlası
cotton gin,pamuk çırçırı
cotton grass,pamuk otu
cotton mill,pamuk fabrikası
cotton plant,pamuk fidanı
cotton plush,pamuklu peluş
cotton thread,pamuk ipliği
cotton up to,yaltaklanmak
cotton velvet,pamuklu kadife
cotton wad,hidrofil pamuk
cotton wool,ham pamuk
cotton yarn,pamuk ipliği
cotton,pamuk
cottonize,pamuklaştırmak
cottonseed oil,pamuk yağı
cottonseed,pamuk çekirdeği
cottony,pamuk gibi
cotyledon,kotileden
cotyloid,hokka gibi
couch grass,ayrıkotu
couch,ifade etmek
couchette,(trende) kuşet
couching,katarakt ameliyatı
cougar,puma
cough drop,öksürük pastili
cough mixture,öksürük şurubu
cough up,para bayılmak
cough,öksürmek
could,(`can eyleminin geçmiş biçimi olarak) -ebilirdi
coulee,derin sel çukuru
coulisse,kulis
coulomb,kulomb
coulometer,kulonmetre
coulter,kotan bıçağı
coumarin,kumarin
coumarone,kumaron
Council of Europe,Avrupa Konseyi
Council of Ministers,Bakanlar Kurulu
Council of State,Danıştay
council of war,harp meclisi
council,konsey
councillor,meclis üyesi
councilman,belediye encümen üyesi
counsel fee,vekâlet vergini
counsel,avukat
counsellor,danışman
counsellor-at-law,avukat
counselor,bkz.counsellor
count down,geriye doğru saymak
count for little,çok önemsiz olmak
count for nothing,çok önemsiz olmak
count in,katmak
count noses,kelle saymak
count on,bel bağlamak
count ones chickens,dereyi görmeden paçaları sıvamak
count out,birer birer saymak
count the cost,bütün riskleri hesaplamak
count the pennies,kemerleri sıkmak
count up,hesap etmek
count,(sayı) saymak, sayım, hesap, sayı, toplam, şikayet maddesi, önemseme, umursama, dikkat, kont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
countable noun,sayılabilen isim
countable,sayılabilen
countdown,gerisayım
countenance,yüz ifadesi, izin vermek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counter claim,karşı dava
counter currency,sahte para
counter demonstration,karşı gösteri
counter jumper,tezgâhtar
counter measure,karşı önlem
counter motion,karşı öneri
counter offer,karşı teklif
counter proposal,karşı teklif
counter revolution,karşı devrim
counter security,ikinci kefalet
counter,tezgâh, karşılık vermek, karşı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counter-intelligence service,karşı casusluk servisi
counteract,karşılık vermek
counteraction,karşı hareket
counterattack,karşı saldırı
counterbalance,eş ağırlık
counterbore,havşa
counterbrace,çapraz gergi
countercharge,karşı suçlama
countercheck,tepki
counterclaim,karşı dava
counterclockwise,saat yönünün tersine
countercurrent,karşıakım
counterespionage,karşı casusluk
counterfeit money,sahte para
counterfeit,(para/vb.) sahtesini yapmak
counterfeiter,kalpazan
counterfire,karşı ateş
counterflange,kontra flanş
counterfoil,çek ya da makbuzun dip koçanı
counterfort,payanda
counterglow,karşıgün
counterintelligence,karşı haber alma örgütü
counterirritant,karşı irkilme
counterman,tezgâhtar
countermand,yeni bir emirle geçersiz kılmak
countermark,kalite işareti
countermeasure,karşı önlem
counterorder,siparişi geri alma
counterpane,yatak örtüsü
counterpart,tam benzeri
counterplot,karşı tedbir
counterpoint,kontrpuan
counterpoise,denge ağırlığı
counterpressure,karşıbasınç
counterrecoil,yerine gelme
counterrevolution,karşı devrim
counterrevolutionary,karşı devrimci
countershaft,transmisyon mili
countersign,parola
countersignature,tasdik imzası
countersink,havşa matkabı
counterspy,karşı casus
countersunk,gömme
countervail,aynı kuvvetle karşı koymak
countervailing,aynı kuvvetle karşı koyma
counterwedge,karşı kama
counterweight,denge ağırlığı
countess,kontes
countless,çok fazla
countrified,köylümsü
country club,kırdaki spor ve eğlence kulübü
country cousin,taşralı akraba
country house,şehir dışındaki yazlık
country music,kantri müzik
country race,kır koşusu
country,ülke, taşraya özgü, kırsal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
countryman,vatandaş
countryseat,sayfiye evi
countryside,kırsal bölge
countrywide,ülke çapında
county,ilçe
coup detat,hükümet darbesi
coup,başarılı hareket
coupe,iki kapılı spor araba
couple,birleştirmek
coupled,akuple
coupler,kuplör
couplet,beyit
coupling,kavrama
coupon of bonds,tahvilat kuponu
coupon,kupon
courage,yüreklilik
courageous,yürekli
courgette,bir çeşit dolmalık kabak
courier,haberci
course of business,işlerin seyri
course of flight,uçuş rotası
course,yön, seri, eğitim, tahsil, davranış biçimi, eylem biçimi, yöntem, yol, yemeğin bölümlerinden biri, tabak, yemek, (sıvı) akmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
courser,av köpeği
court danger,tehlike peşinde koşmak
court death,ölümüne susamak
court fees,mahkeme masrafları
court file,dava dosyası
court of account,Sayıştay
court of admiralty,deniz mahkemesi
court of appeal,Temyiz Mahkemesi
court of bankruptcy,iflas mahkemesi
court of first instance,asliye mahkemesi
court of human Rights,insan hakları mahkemesi
court of jurisdictional disputes,uyuşmazlık mahkemesi
court of justice,adalet divanı
court of peace,sulh mahkemesi
court of review,temyiz mahkemesi
court order,mahkeme ilamı
court plaster,plaster
court,mahkeme, dalkavukluk etmek, kur yapmak, riskine girmek, atılmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
court-martial,askeri mahkeme
courteous,ince
courtesan,fahişe
courtesy call,nezaket ziyareti
courtesy title,resmi olmayan unvan
courtesy visit,nezaket ziyareti
courtesy,incelik
courthouse,adliye sarayı
courtier,saray adamı
courtly,nazik
courtship,kur yapma
courtyard,avlu
cousin,kuzen
couture,terzilik
couturier,modacı
couturiere,kadın terzi
covalence,kovalans
covalent bond,kovalent bağ
covalent,kovalent
covariance,eşdeğişirlik
covariant,kovaryant
cove,koy
coven,cadılar toplantısı
covenant,(dinsel) anlaşma
covenanted employee,sözleşmeli çalışan
Coventry,dışlamak
cover charge,giriş vergini
cover crop,örtü bitkisi
cover girl,kapak kızı
cover glass,lamel
cover letter,tanıtma yazısı
cover up,örtmek
cover,örtmek, karşılamak, sigortalamak, silahla korumak, -e silah tutmak/doğrultmak, kapak, örtü, koruyucu, kitap kabı, kap, zarf, kılıf, siper, sığınak, maske, perde, paravana, sigorta,,,,,,,,,,,,,,,,,,,,,,,
coverage,(sınalgı/gazete/vb.de) bir olaya ayrılan yer/zaman
covered market,kapalı çarşı
covered,kapalı
covering letter,açıklayıcı mektup
covering note,sigorta zeyilnamesi
covering warrant,hazine bonosu
covering,kat
coverlet,yatak örtüsü
covert,gizli
covet,göz dikmek
covetous,hırslı
covetousness,açgözlülük
covey,keklik sürüsü
coving,sundurma
cow pea,börülce
cow,inek
coward,korkak
cowardice,korkaklık
cowardliness,korkaklık
cowardly,korkakça
cowbane,sığır baldıranı
cowbell,inek çıngırağı
cowberry,kırmızı yaban mersini
cowboy,kovboy
cower,sinmek
cowhand,kovboy
cowhide,gön
cowling,kaporta
coworker,iş arkadaşı
cowpat,tezek
cowslip,çuhaçiçeği
cox,dümenci
coxa,böcekte kalça sümüğü
coxcomb,edabaz
coxcombry,züppelik
coxswain,dümenci
coy,çekingen
coyness,çekingenlik
coyote,kır kurdu
coypu,bataklık kunduzu
cozen,aldatmak
cozy,bkz.cosy
crab apple,yaban elması
crab louse,kasıkbiti
crab,yengeç
crabbed,ters
crabbing,krablama
crabby,huysuz
crack a joke,fıkra patlatmak
crack down,acımasızlaşmak
crack of doom,kıyamet kopması
crack up,sağlığı bozulmak
crack,çatlamak, (espri/fıkra/vb.) patlatmak, şifresini, sırrını çözmek, keşfetmek, başarılı, usta, yetenekli, çatlak, şaklama, çatırtı, vuruş, darbe, tokat, girişim, şaka, nükte,,,,,,,,,,,,,,,,,,,,,,,,
crackdown,yasaklama
cracked,çatlak
cracker,kraker
crackers,deli
cracking,çatlama
crackle,çatırdamak
crackling,çatırtı
crackpot,kaçık
crackup,kaza
cradle of civilization,uygarlığın beşiği
cradle,beşik, beşikteymiş gibi sallamak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cradlesong,ninni
craft,sanat, teknik eleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
craftily,şeytanca
craftiness,kurnazlık
crafts,gemi
craftsman,usta
craftsmanship,hüner
crafty,kurnaz
crag,yalçın kayalık
cragged,sarp
craggy,dik ve pütürlü
cram,tıkmak
cram-full,dopdolu
cramp,kramp
cramped,(yer) dar
crampon,kanca
cranage,vinç kirası
cranberry,keçiyemişi
crane truck,vinçli kamyon
crane,vinç
cranebill,turnagagası
cranial cavitiy,kafatası boşluğu
cranial nerve,kafatası siniri
cranial,kafatasıyla ilgili
craniology,kafabilim
cranium,kafatası
crank arm,krank kolu
crank web,krank kolu
crank,dirsek
crankcase,karter
crankshaft,krank mili
cranky,acayip
cranny,çatlak
crap,bok
crape,krep
craps,iki zarla oynanan kumar
crapulence,içkiye aşırı düşkünlük
crash about ones ears,dünya başına yıkılmak
crash dive,(denizaltı) birden dalma
crash helmet,kask
crash landing,mecburi iniş
crash,(araba/vb.) gürültüyle çarpmak, batkı, iflas, acele, ivedi, hızlı, hızlandırılmış,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash-land,mecburi iniş yapmak
crass,aptal
crate,kafesli sandık
crater lake,krater gölü
crater,krater
cravat,boyunbağı
crave,çok istemek
craven,ödlek
craving,arzu
craw,kursak
crawfish,kerevit
crawl,emeklemek, yağ çekmek, krol yüzme, çok yavaş hareket, ağır gidiş,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crawler,tırtıl zincirli makine
crayfish,kerevit
crayon,renkli kalem
craze,çılgına çevirmek
craziness,delilik
crazing,sır çatlaması
crazy,deli,(about ile) hayran,tutkun,hasta,deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creak,gıcırtı
creaky,(kapı/vb.) gıcırtılı
cream cheese,krem peynir
cream of tartar,krem tartar
cream of the crop,kaymak tabaka
cream,kaymak
creamer,ekramöz
creamery,süthane
creamy,krem gibi
crease,buruşukluk
crease-proof,buruşmaz
crease-resistant,buruşmaz
create a stink,kıyameti koparmak
create jobs,istihdam olanağı oluşturmak
create,yaratmak
creatine,kreatin
creatinine,kreatinin
creation,yaratma
creative power,yaratıcı güç
creative,yaratıcı
creativity,yaratıcılık
creator,yaratıcı
creature comforts,refah
creature,yaratık
creche,kreş
credence,inanma
credentials,güven belgesi
credibility,güvenilirlik
credible,inanılır
credit account,kredi hesabı
credit advice,alacak dekontu
credit agency,kredi kurumu
credit agent,sigorta acentesi
credit agreement,kredi anlaşması
credit application,kredi başvurusu
credit balance,alacak bakıyesi
credit bank,kredi bankası
credit card,kredi kartı
credit control,kredi kontrolü
credit department,kredi servisi
credit interest,kredi faizi
credit limit,kredi limiti
credit line,kredi limiti
credit market,kredi piyasası
credit money,banka kredisi
credit note,kredi mektubu
credit period,kredi dönemi
credit rating,kredi değerliliği
